Voyage_ID,Date,Ship_Type,Route_Type,Maintenance_Status,Anomaly_Type,Speed_Over_Ground_knots,Efficiency_nm_per_kWh,Operational_Cost_USD,Revenue_per_Voyage_USD,Excess_Cost_USD,Lost_Revenue_USD
116,2023-06-11,Tanker,Long-haul,Good,Low Efficiency,23.61,1.46,72545.92,341953.86,-181519.45,173728.12
125,2023-08-13,Fish Carrier,Long-haul,Critical,High Cost,17.3,1.36,35043.77,141088.69,-219021.6,374593.3
127,2023-08-27,Bulk Carrier,Long-haul,Good,Speed Deviation,10.14,0.53,427354.19,93533.65,173288.83,422148.33
132,2023-10-01,Tanker,Long-haul,Critical,"Low Efficiency, Speed Deviation",24.12,1.49,205599.94,290527.96,-48465.42,225154.02
134,2023-10-15,Bulk Carrier,Unknown,Fair,High Cost,23.03,1.36,37419.93,70281.32,-216645.44,445400.66
139,2023-11-19,Container Ship,Transoceanic,Critical,Speed Deviation,10.56,0.42,330241.9,438941.55,76176.53,76740.43
141,2023-12-03,Tanker,Transoceanic,Fair,"Low Efficiency, High Cost",11.28,0.1,24831.52,270000.09,-229233.85,245681.89
144,2023-12-24,Fish Carrier,Long-haul,Good,High Cost,11.83,1.12,43073.93,881888.87,-210991.43,0.0
145,2023-12-31,Container Ship,Short-haul,Critical,Speed Deviation,24.87,0.37,415897.46,534037.73,161832.09,0.0
147,2024-01-14,Bulk Carrier,Long-haul,Fair,"Low Efficiency, Speed Deviation",10.05,0.13,155668.68,132475.08,-98396.68,383206.9
149,2024-01-28,Fish Carrier,Transoceanic,Fair,Low Efficiency,17.87,0.1,461947.15,449548.14,207881.79,66133.84
152,2024-02-18,Bulk Carrier,Coastal,Fair,Speed Deviation,24.32,0.21,97009.66,983045.8,-157055.71,0.0
155,2024-03-10,Tanker,Transoceanic,Good,Low Efficiency,21.64,0.11,338203.15,947650.24,84137.78,0.0
162,2024-04-28,Unknown,Long-haul,Good,High Cost,20.67,1.39,15465.66,139354.89,-238599.71,376327.1
165,2024-05-19,Tanker,Transoceanic,Critical,Speed Deviation,24.66,1.15,112767.02,591738.3,-141298.34,0.0
172,2023-06-04,Bulk Carrier,Short-haul,Good,Low Efficiency,13.57,1.5,173412.39,511307.12,-80652.98,4374.86
175,2023-06-25,Fish Carrier,Short-haul,Critical,Low Efficiency,22.63,0.13,353484.98,107431.27,99419.62,408250.71
178,2023-07-16,Bulk Carrier,Transoceanic,Critical,High Cost,20.49,0.35,21419.48,604372.04,-232645.89,0.0
179,2023-07-23,Fish Carrier,Short-haul,Good,Low Efficiency,17.81,1.45,88420.29,321282.63,-165645.08,194399.36
185,2023-09-03,Tanker,Coastal,Good,Low Efficiency,14.16,0.19,364948.2,566426.08,110882.84,0.0
189,2023-10-01,Tanker,Long-haul,Critical,Speed Deviation,24.16,0.68,455745.51,652650.67,201680.15,0.0
190,2023-10-08,Fish Carrier,Transoceanic,Good,"High Cost, Speed Deviation",10.68,0.3,480979.67,499902.51,226914.31,15779.47
192,2023-10-22,Bulk Carrier,Coastal,Critical,Low Efficiency,21.2,0.1,384714.6,461157.22,130649.24,54524.76
193,2023-10-29,Unknown,Transoceanic,Critical,High Cost,22.43,0.39,493895.83,320893.27,239830.47,194788.71
194,2023-11-05,Bulk Carrier,Short-haul,Good,Speed Deviation,10.4,1.1,183297.49,670517.63,-70767.87,0.0
195,2023-11-12,Bulk Carrier,Coastal,Fair,Low Efficiency,23.82,0.18,239643.74,691542.02,-14421.63,0.0
196,2023-11-19,Fish Carrier,Coastal,Critical,High Cost,23.95,1.31,471464.07,818414.9,217398.7,0.0
197,2023-11-26,Unknown,Unknown,Unknown,Speed Deviation,11.12,0.2,317587.36,583011.75,63521.99,0.0
198,2023-12-03,Bulk Carrier,Long-haul,Good,Speed Deviation,10.7,1.24,342498.8,357777.98,88433.43,157904.0
199,2023-12-10,Unknown,Coastal,Fair,High Cost,12.26,1.2,28916.94,93070.13,-225148.43,422611.85
200,2023-12-17,Bulk Carrier,Short-haul,Critical,Speed Deviation,24.42,0.99,410382.29,953567.37,156316.93,0.0
202,2023-12-31,Tanker,Long-haul,Good,Speed Deviation,10.19,0.73,338954.6,88174.58,84889.23,427507.4
203,2024-01-07,Unknown,Long-haul,Fair,Speed Deviation,24.48,0.31,153344.51,188972.41,-100720.86,326709.57
209,2024-02-18,Fish Carrier,Transoceanic,Good,"Low Efficiency, Speed Deviation",25.0,1.48,164426.32,933017.47,-89639.05,0.0
210,2024-02-25,Container Ship,Long-haul,Fair,Low Efficiency,15.48,0.18,60363.67,850656.09,-193701.7,0.0
212,2024-03-10,Container Ship,Long-haul,Fair,Speed Deviation,10.61,1.14,280078.28,997181.65,26012.91,0.0
214,2024-03-24,Bulk Carrier,Transoceanic,Fair,Low Efficiency,19.83,0.11,127673.05,176965.23,-126392.32,338716.75
215,2024-03-31,Bulk Carrier,Long-haul,Fair,High Cost,22.21,0.32,33649.23,875400.41,-220416.14,0.0
219,2024-04-28,Bulk Carrier,Coastal,Unknown,"High Cost, Speed Deviation",10.37,0.74,22233.31,956502.65,-231832.05,0.0
222,2024-05-19,Bulk Carrier,Unknown,Critical,Low Efficiency,22.38,0.16,71402.35,690041.05,-182663.02,0.0
224,2024-06-02,Fish Carrier,Coastal,Fair,Low Efficiency,14.22,0.13,225119.26,999811.93,-28946.1,0.0
226,2024-06-16,Bulk Carrier,Long-haul,Fair,High Cost,20.58,1.08,43844.65,986244.92,-210220.72,0.0
234,2023-07-09,Fish Carrier,Long-haul,Fair,High Cost,21.07,0.49,475646.95,411222.78,221581.58,104459.2
238,2023-08-06,Fish Carrier,Coastal,Critical,High Cost,16.8,0.94,470657.71,711809.28,216592.35,0.0
241,2023-08-27,Tanker,Coastal,Unknown,Speed Deviation,24.2,0.91,453704.08,939589.51,199638.71,0.0
242,2023-09-03,Tanker,Short-haul,Fair,Low Efficiency,19.69,0.17,367330.95,797160.56,113265.58,0.0
245,2023-09-24,Container Ship,Coastal,Critical,Speed Deviation,10.22,1.14,464464.5,382313.61,210399.13,133368.37
246,2023-10-01,Tanker,Transoceanic,Good,Speed Deviation,24.73,1.24,424284.9,640327.21,170219.54,0.0
254,2023-11-26,Bulk Carrier,Short-haul,Good,"Low Efficiency, Speed Deviation",10.99,1.46,403711.95,532047.81,149646.58,0.0
255,2023-12-03,Container Ship,Short-haul,Critical,"High Cost, Speed Deviation",10.38,1.02,14690.67,404165.44,-239374.69,111516.54
259,2023-12-31,Fish Carrier,Short-haul,Good,Speed Deviation,10.68,0.46,460969.33,171119.77,206903.96,344562.21
260,2024-01-07,Fish Carrier,Short-haul,Good,Speed Deviation,24.78,1.05,258587.14,177985.81,4521.77,337696.17
262,2024-01-21,Fish Carrier,Short-haul,Fair,High Cost,18.95,1.34,25005.55,568632.2,-229059.82,0.0
263,2024-01-28,Container Ship,Long-haul,Good,High Cost,16.19,0.93,471660.38,604154.85,217595.02,0.0
264,2024-02-04,Bulk Carrier,Coastal,Fair,High Cost,21.03,0.45,13240.29,470107.75,-240825.08,45574.24
267,2024-02-25,Bulk Carrier,Coastal,Good,Low Efficiency,11.2,1.43,325380.58,204521.14,71315.21,311160.85
269,2024-03-10,Bulk Carrier,Short-haul,Fair,Speed Deviation,24.29,0.78,169134.74,943255.28,-84930.63,0.0
271,2024-03-24,Tanker,Coastal,Critical,Speed Deviation,10.47,0.54,328948.94,650038.99,74883.58,0.0
273,2024-04-07,Fish Carrier,Long-haul,Fair,Speed Deviation,10.22,0.55,319676.74,942941.6,65611.37,0.0
275,2024-04-21,Bulk Carrier,Long-haul,Critical,High Cost,22.48,0.95,466491.43,495615.42,212426.06,20066.56
277,2024-05-05,Bulk Carrier,Coastal,Fair,Low Efficiency,11.54,1.47,390206.58,74469.87,136141.22,441212.11
278,2024-05-12,Fish Carrier,Long-haul,Good,Speed Deviation,10.89,1.12,448659.84,382284.84,194594.47,133397.14
279,2024-05-19,Fish Carrier,Transoceanic,Good,High Cost,20.92,0.39,20422.37,153335.73,-233643.0,362346.25
281,2024-06-02,Tanker,Coastal,Critical,High Cost,16.79,1.23,475801.21,563864.17,221735.85,0.0
283,2024-06-16,Fish Carrier,Transoceanic,Fair,Low Efficiency,17.97,0.11,352375.58,872456.93,98310.21,0.0
284,2024-06-23,Fish Carrier,Long-haul,Good,High Cost,12.49,0.52,33022.2,807436.44,-221043.16,0.0
285,2024-06-30,Fish Carrier,Long-haul,Unknown,Low Efficiency,13.46,1.5,59361.82,498065.45,-194703.55,17616.54
288,2023-06-18,Bulk Carrier,Short-haul,Good,Speed Deviation,24.49,0.41,92445.83,166319.57,-161619.54,349362.42
291,2023-07-09,Unknown,Coastal,Critical,High Cost,15.49,1.22,477256.23,474495.34,223190.86,41186.64
296,2023-08-13,Tanker,Short-haul,Fair,Speed Deviation,10.15,1.17,327454.66,443749.89,73389.29,71932.09
297,2023-08-20,Bulk Carrier,Short-haul,Good,High Cost,17.07,1.15,495353.26,128567.32,241287.89,387114.66
298,2023-08-27,Tanker,Long-haul,Critical,"Low Efficiency, High Cost",21.1,0.19,33202.77,198655.87,-220862.6,317026.11
299,2023-09-03,Bulk Carrier,Short-haul,Good,Speed Deviation,24.27,1.01,88524.69,902033.49,-165540.68,0.0
302,2023-09-24,Fish Carrier,Unknown,Good,Speed Deviation,24.91,0.35,225447.84,987921.69,-28617.53,0.0
304,2023-10-08,Tanker,Coastal,Good,Speed Deviation,10.12,1.07,294479.67,649419.53,40414.3,0.0
306,2023-10-22,Unknown,Long-haul,Fair,Speed Deviation,24.87,1.15,326450.14,611157.14,72384.77,0.0
308,2023-11-05,Bulk Carrier,Short-haul,Fair,High Cost,11.81,0.8,41656.88,332565.91,-212408.48,183116.07
309,2023-11-12,Tanker,Short-haul,Fair,Low Efficiency,14.81,0.16,422001.98,957861.19,167936.62,0.0
311,2023-11-26,Bulk Carrier,Long-haul,Good,Low Efficiency,23.93,1.44,418851.4,114144.89,164786.04,401537.09
316,2023-12-31,Tanker,Short-haul,Fair,High Cost,23.79,0.88,479594.81,876137.98,225529.44,0.0
317,2024-01-07,Bulk Carrier,Long-haul,Fair,Low Efficiency,16.37,0.12,411408.49,82118.79,157343.12,433563.19
323,2024-02-18,Tanker,Coastal,Good,High Cost,16.39,0.61,10092.31,784232.75,-243973.06,0.0
326,2024-03-10,Bulk Carrier,Short-haul,Fair,Speed Deviation,24.98,1.38,48178.44,527237.12,-205886.93,0.0
327,2024-03-17,Fish Carrier,Coastal,Critical,Low Efficiency,21.86,1.48,181717.6,854444.08,-72347.77,0.0
329,2024-03-31,Container Ship,Long-haul,Good,Speed Deviation,10.86,1.22,121596.15,141515.23,-132469.22,374166.76
335,2024-05-12,Bulk Carrier,Short-haul,Unknown,Low Efficiency,24.06,1.44,104972.74,687887.79,-149092.63,0.0
340,2024-06-16,Fish Carrier,Short-haul,Fair,"High Cost, Speed Deviation",11.09,1.04,477521.1,969441.02,223455.74,0.0
341,2024-06-23,Fish Carrier,Long-haul,Fair,High Cost,12.48,1.05,468717.3,953222.65,214651.93,0.0
343,2023-06-04,Container Ship,Short-haul,Good,Speed Deviation,24.48,1.4,375938.42,754507.81,121873.06,0.0
352,2023-08-06,Tanker,Transoceanic,Critical,Low Efficiency,15.17,0.15,214210.12,593776.97,-39855.24,0.0
354,2023-08-20,Tanker,Transoceanic,Critical,Speed Deviation,24.61,0.81,450880.79,298107.23,196815.42,217574.75
361,2023-10-08,Tanker,Transoceanic,Good,"High Cost, Speed Deviation",10.77,0.23,43280.59,111012.07,-210784.77,404669.91
362,2023-10-15,Tanker,Short-haul,Good,Speed Deviation,10.88,0.21,194293.95,387442.24,-59771.42,128239.74
365,2023-11-05,Container Ship,Long-haul,Critical,Low Efficiency,14.44,1.5,122353.68,934588.08,-131711.68,0.0
366,2023-11-12,Bulk Carrier,Coastal,Fair,Low Efficiency,19.44,1.44,432017.77,615360.16,177952.41,0.0
367,2023-11-19,Bulk Carrier,Short-haul,Critical,"Low Efficiency, Speed Deviation",24.6,1.46,111107.19,916612.01,-142958.18,0.0
368,2023-11-26,Bulk Carrier,Coastal,Critical,Speed Deviation,24.33,0.84,413944.88,57904.1,159879.51,457777.89
373,2023-12-31,Fish Carrier,Long-haul,Good,Speed Deviation,10.64,0.41,289646.59,716862.18,35581.22,0.0
374,2024-01-07,Bulk Carrier,Coastal,Good,Speed Deviation,10.52,1.29,251675.04,663243.69,-2390.33,0.0
379,2024-02-11,Bulk Carrier,Coastal,Fair,Low Efficiency,15.88,1.43,46197.25,308317.39,-207868.12,207364.59
384,2024-03-17,Fish Carrier,Coastal,Fair,Speed Deviation,24.91,0.58,196769.88,304471.67,-57295.49,211210.31
385,2024-03-24,Fish Carrier,Transoceanic,Good,Low Efficiency,12.57,0.17,256504.87,435407.69,2439.51,80274.29
386,2024-03-31,Bulk Carrier,Coastal,Critical,Speed Deviation,24.24,1.38,64915.25,77068.86,-189150.12,438613.12
394,2024-05-26,Bulk Carrier,Long-haul,Fair,Speed Deviation,10.54,0.95,451748.91,708179.92,197683.54,0.0
397,2024-06-16,Fish Carrier,Long-haul,Good,High Cost,12.62,0.97,486638.89,134185.97,232573.53,381496.01
402,2023-06-18,Tanker,Short-haul,Critical,Speed Deviation,24.37,0.59,268663.67,403750.95,14598.3,111931.03
403,2023-06-25,Fish Carrier,Transoceanic,Fair,Low Efficiency,22.49,1.43,251158.87,974721.03,-2906.49,0.0
407,2023-07-23,Bulk Carrier,Transoceanic,Good,Low Efficiency,19.24,1.42,281348.82,822099.79,27283.45,0.0
408,2023-07-30,Bulk Carrier,Long-haul,Critical,"Low Efficiency, High Cost",11.37,0.1,28867.78,586469.89,-225197.58,0.0
409,2023-08-06,Bulk Carrier,Coastal,Unknown,Low Efficiency,23.09,1.41,271119.04,339671.35,17053.67,176010.63
410,2023-08-13,Bulk Carrier,Short-haul,Critical,Speed Deviation,10.68,0.53,359151.68,539673.66,105086.32,0.0
413,2023-09-03,Bulk Carrier,Short-haul,Fair,"Low Efficiency, High Cost",23.95,1.46,11993.79,121046.18,-242071.58,394635.8
415,2023-09-17,Tanker,Long-haul,Good,High Cost,20.15,0.31,34161.62,651811.86,-219903.75,0.0
427,2023-12-10,Bulk Carrier,Short-haul,Fair,Low Efficiency,17.57,1.44,123257.29,175370.02,-130808.08,340311.96
431,2024-01-07,Fish Carrier,Short-haul,Fair,"High Cost, Speed Deviation",24.51,0.59,498514.41,173802.06,244449.04,341879.93
433,2024-01-21,Tanker,Coastal,Good,Low Efficiency,21.92,1.46,286191.5,355263.52,32126.13,160418.46
435,2024-02-04,Bulk Carrier,Transoceanic,Unknown,Low Efficiency,20.41,1.45,411934.27,982754.56,157868.91,0.0
436,2024-02-11,Tanker,Long-haul,Critical,"Low Efficiency, High Cost",11.5,1.45,35057.23,264398.29,-219008.14,251283.7
437,2024-02-18,Fish Carrier,Coastal,Fair,Speed Deviation,11.11,1.26,301308.61,320266.24,47243.24,195415.74
439,2024-03-03,Tanker,Transoceanic,Good,Low Efficiency,17.13,0.16,456353.69,297444.2,202288.32,218237.79
447,2024-04-28,Fish Carrier,Coastal,Fair,"Low Efficiency, High Cost",17.04,1.47,471707.45,710643.9,217642.08,0.0
448,2024-05-05,Tanker,Transoceanic,Critical,High Cost,21.44,1.22,33208.56,646160.62,-220856.81,0.0
450,2024-05-19,Fish Carrier,Long-haul,Fair,Speed Deviation,10.13,1.24,226746.08,860720.64,-27319.28,0.0
451,2024-05-26,Container Ship,Coastal,Fair,Speed Deviation,24.71,0.59,85145.36,241754.86,-168920.0,273927.13
459,2023-06-18,Fish Carrier,Coastal,Good,High Cost,21.25,0.5,466482.43,320583.94,212417.06,195098.04
467,2023-08-13,Container Ship,Long-haul,Good,High Cost,17.86,0.41,497045.5,731928.42,242980.14,0.0
468,2023-08-20,Fish Carrier,Transoceanic,Critical,Speed Deviation,24.29,0.25,376389.97,689364.24,122324.6,0.0
470,2023-09-03,Tanker,Unknown,Good,High Cost,14.75,0.52,480476.94,999423.86,226411.58,0.0
472,2023-09-17,Unknown,Transoceanic,Good,Speed Deviation,24.65,1.35,166102.37,706437.45,-87963.0,0.0
475,2023-10-08,Tanker,Long-haul,Fair,Speed Deviation,24.84,0.58,58285.21,706414.03,-195780.16,0.0
476,2023-10-15,Tanker,Transoceanic,Fair,"Low Efficiency, High Cost",11.35,0.16,495669.86,897782.8,241604.5,0.0
477,2023-10-22,Unknown,Short-haul,Critical,High Cost,14.27,0.85,490674.6,773597.31,236609.24,0.0
482,2023-11-26,Container Ship,Transoceanic,Critical,Low Efficiency,12.97,0.19,287075.6,258543.63,33010.23,257138.35
484,2023-12-10,Fish Carrier,Long-haul,Critical,Low Efficiency,23.45,1.48,115935.62,824991.41,-138129.75,0.0
488,2024-01-07,Unknown,Coastal,Good,Speed Deviation,10.95,1.18,390291.3,144064.14,136225.94,371617.84
489,2024-01-14,Fish Carrier,Long-haul,Fair,Low Efficiency,17.94,1.49,232778.36,121407.47,-21287.01,394274.51
490,2024-01-21,Bulk Carrier,Unknown,Critical,High Cost,18.62,0.9,42919.54,855357.82,-211145.83,0.0
491,2024-01-28,Bulk Carrier,Long-haul,Unknown,Low Efficiency,20.85,0.12,446566.32,930676.82,192500.95,0.0
494,2024-02-18,Fish Carrier,Transoceanic,Unknown,Low Efficiency,18.35,0.18,452861.54,532286.04,198796.18,0.0
496,2024-03-03,Bulk Carrier,Transoceanic,Fair,Speed Deviation,24.94,0.21,219751.86,808051.6,-34313.51,0.0
499,2024-03-24,Fish Carrier,Coastal,Critical,Low Efficiency,16.49,1.41,261063.39,404329.81,6998.02,111352.17
500,2024-03-31,Container Ship,Transoceanic,Good,High Cost,15.44,0.87,10411.86,116607.35,-243653.51,399074.64
504,2024-04-28,Fish Carrier,Long-haul,Fair,Speed Deviation,10.1,0.5,160405.02,735095.61,-93660.35,0.0
505,2024-05-05,Tanker,Short-haul,Good,High Cost,23.48,0.22,471567.5,289056.24,217502.13,226625.74
506,2024-05-12,Bulk Carrier,Short-haul,Critical,Low Efficiency,18.11,0.11,284375.84,772404.43,30310.47,0.0
507,2024-05-19,Fish Carrier,Transoceanic,Critical,Low Efficiency,15.82,0.19,105459.96,637610.08,-148605.41,0.0
511,2024-06-16,Container Ship,Transoceanic,Fair,Low Efficiency,13.25,1.4,108554.68,956636.48,-145510.68,0.0
520,2023-07-16,Container Ship,Transoceanic,Critical,Low Efficiency,14.54,0.18,283270.48,336037.59,29205.11,179644.39
527,2023-09-03,Container Ship,Long-haul,Critical,"High Cost, Speed Deviation",10.44,0.64,12619.21,989787.61,-241446.16,0.0
530,2023-09-24,Container Ship,Coastal,Good,High Cost,20.08,0.44,476810.27,692137.86,222744.9,0.0
532,2023-10-08,Fish Carrier,Coastal,Good,"Low Efficiency, High Cost, Speed Deviation",10.99,0.17,12000.36,838959.97,-242065.01,0.0
534,2023-10-22,Container Ship,Long-haul,Good,High Cost,18.21,0.83,479278.13,725515.72,225212.77,0.0
535,2023-10-29,Container Ship,Transoceanic,Good,High Cost,21.47,0.61,30284.16,546167.3,-223781.21,0.0
537,2023-11-12,Container Ship,Short-haul,Good,"High Cost, Speed Deviation",24.2,0.88,488747.75,919342.14,234682.38,0.0
541,2023-12-10,Tanker,Transoceanic,Good,"Low Efficiency, High Cost",16.09,0.18,497980.41,720587.73,243915.05,0.0
542,2023-12-17,Fish Carrier,Coastal,Good,"Low Efficiency, Speed Deviation",11.03,0.11,67038.63,413173.63,-187026.74,102508.35
545,2024-01-07,Tanker,Coastal,Critical,Low Efficiency,19.97,1.49,227368.76,54936.89,-26696.6,460745.09
546,2024-01-14,Bulk Carrier,Short-haul,Fair,High Cost,15.27,1.2,29267.38,661119.64,-224797.98,0.0
547,2024-01-21,Container Ship,Short-haul,Critical,"Low Efficiency, Speed Deviation",10.29,1.41,433801.16,889517.39,179735.8,0.0
549,2024-02-04,Container Ship,Transoceanic,Unknown,Low Efficiency,22.74,0.12,365679.84,544371.8,111614.47,0.0
550,2024-02-11,Container Ship,Short-haul,Fair,Speed Deviation,24.78,0.37,428270.34,161766.31,174204.97,353915.67
551,2024-02-18,Bulk Carrier,Transoceanic,Fair,High Cost,14.91,0.44,42218.82,463045.54,-211846.55,52636.44
553,2024-03-03,Container Ship,Coastal,Good,"High Cost, Speed Deviation",24.67,0.95,43257.16,116448.88,-210808.21,399233.1
556,2024-03-24,Container Ship,Short-haul,Critical,High Cost,21.11,0.94,468064.76,102578.29,213999.4,413103.7
558,2024-04-07,Container Ship,Transoceanic,Fair,Low Efficiency,19.45,0.18,285691.27,461402.57,31625.91,54279.41
559,2024-04-14,Container Ship,Transoceanic,Good,Speed Deviation,10.48,0.59,207992.79,717045.1,-46072.57,0.0
560,2024-04-21,Tanker,Transoceanic,Fair,Low Efficiency,16.97,1.49,44815.47,799858.14,-209249.9,0.0
562,2024-05-05,Tanker,Coastal,Good,Speed Deviation,24.41,1.32,71308.51,377198.66,-182756.85,138483.32
563,2024-05-12,Container Ship,Coastal,Good,High Cost,23.13,0.49,498660.37,371393.34,244595.01,144288.64
566,2024-06-02,Tanker,Long-haul,Critical,Low Efficiency,15.57,0.18,252689.21,123254.03,-1376.15,392427.95
568,2024-06-16,Fish Carrier,Coastal,Fair,High Cost,11.64,0.7,474679.98,393290.69,220614.62,122391.29
569,2024-06-23,Tanker,Coastal,Critical,Low Efficiency,21.49,0.11,258292.29,690111.8,4226.92,0.0
570,2024-06-30,Bulk Carrier,Long-haul,Critical,Low Efficiency,22.41,1.41,59095.38,321880.6,-194969.99,193801.38
574,2023-06-25,Tanker,Coastal,Fair,Low Efficiency,16.94,1.43,98053.82,314119.26,-156011.54,201562.72
575,2023-07-02,Container Ship,Long-haul,Fair,Low Efficiency,14.86,1.42,410475.9,761935.56,156410.53,0.0
576,2023-07-09,Bulk Carrier,Short-haul,Good,Speed Deviation,24.65,0.96,380656.09,877314.27,126590.72,0.0
578,2023-07-23,Tanker,Short-haul,Critical,"High Cost, Speed Deviation",24.16,0.62,498479.59,197506.54,244414.22,318175.44
581,2023-08-13,Bulk Carrier,Transoceanic,Fair,Speed Deviation,24.8,0.38,58860.87,808180.17,-195204.49,0.0
586,2023-09-17,Tanker,Short-haul,Good,"Low Efficiency, Speed Deviation",10.62,0.16,462821.75,272431.86,208756.38,243250.12
589,2023-10-08,Container Ship,Coastal,Fair,"Low Efficiency, High Cost, Speed Deviation",24.42,1.48,19119.14,152357.24,-234946.23,363324.74
591,2023-10-22,Fish Carrier,Coastal,Fair,High Cost,18.9,0.59,21712.17,962568.19,-232353.2,0.0
592,2023-10-29,Tanker,Coastal,Good,Speed Deviation,24.88,0.69,424693.75,749022.45,170628.38,0.0
593,2023-11-05,Fish Carrier,Long-haul,Critical,Low Efficiency,23.71,1.41,120365.21,63909.41,-133700.16,451772.57
599,2023-12-17,Tanker,Transoceanic,Good,High Cost,15.39,0.96,484025.3,963978.75,229959.93,0.0
600,2023-12-24,Fish Carrier,Unknown,Good,High Cost,21.09,0.75,20780.98,515438.77,-233284.39,243.21
601,2023-12-31,Tanker,Transoceanic,Fair,High Cost,17.01,1.38,477773.01,568133.92,223707.65,0.0
603,2024-01-14,Tanker,Transoceanic,Good,Low Efficiency,18.71,0.18,423743.14,408878.4,169677.77,106803.58
604,2024-01-21,Container Ship,Long-haul,Good,Speed Deviation,10.11,1.35,451108.39,650201.32,197043.02,0.0
