Voyage_ID,Date,Ship_Type,Engine_Type,Maintenance_Status,Turnaround_Time_hours,Efficiency_nm_per_kWh
64,2023-07-16,Container Ship,Heavy Fuel Oil (HFO),Good,23.78391743909741,1.315580862468704
65,2023-07-23,Container Ship,Steam Turbine,Fair,18.602557063346776,0.2705972865864879
66,2023-07-30,Fish Carrier,Steam Turbine,Good,61.7823784879236,0.949127918854366
67,2023-08-06,Container Ship,Diesel,Fair,42.526320018459,0.6684052261159563
68,2023-08-13,Container Ship,Heavy Fuel Oil (HFO),Good,25.79323202816803,1.1792791012628716
69,2023-08-20,Bulk Carrier,Diesel,Critical,33.30665331858125,0.465448780553699
70,2023-08-27,Bulk Carrier,Diesel,Good,12.617302224919555,0.599800167365831
71,2023-09-03,Bulk Carrier,Heavy Fuel Oil (HFO),Fair,67.54185971376666,0.6957991922183627
72,2023-09-10,Container Ship,Heavy Fuel Oil (HFO),Good,47.85612398096887,0.8065649660426751
73,2023-09-17,Tanker,Heavy Fuel Oil (HFO),Critical,26.772326791157788,0.3086908595946186
74,2023-09-24,Bulk Carrier,Steam Turbine,Critical,63.06716612655209,0.2697257044003822
75,2023-10-01,Bulk Carrier,Heavy Fuel Oil (HFO),Critical,50.69766736687308,0.1899805103541345
76,2023-10-08,Container Ship,Steam Turbine,Fair,50.16196466907402,0.2396707303610253
77,2023-10-15,Fish Carrier,Steam Turbine,Fair,52.83693725451989,0.63670497826732
78,2023-10-22,Tanker,Diesel,Critical,58.13940595131379,0.1002113328171159
79,2023-10-29,Tanker,Heavy Fuel Oil (HFO),Fair,55.93275894207765,0.9818028192996996
80,2023-11-05,Fish Carrier,Heavy Fuel Oil (HFO),Good,60.59289734307296,0.7348364287633652
81,2023-11-12,Bulk Carrier,Diesel,,30.64954813116523,0.3871452897041875
82,2023-11-19,Tanker,Heavy Fuel Oil (HFO),Critical,22.9755845013565,0.72267985145727
83,2023-11-26,Tanker,Steam Turbine,Critical,41.0634605899121,1.1289888986975911
84,2023-12-03,Bulk Carrier,Heavy Fuel Oil (HFO),Fair,48.57155240234911,1.361710732063338
85,2023-12-10,Bulk Carrier,,Critical,53.658936439651896,0.2308669981668906
86,2023-12-17,Tanker,Steam Turbine,Fair,64.0790380613702,0.6655857768026667
87,2023-12-24,Fish Carrier,Heavy Fuel Oil (HFO),Fair,34.36297772860755,0.3856556011079809
88,2023-12-31,Tanker,Diesel,Critical,68.06936801389995,0.222368744828167
89,2024-01-07,Container Ship,Diesel,Critical,29.46760770948608,0.2506588888526875
90,2024-01-14,Container Ship,Diesel,Good,58.086760610921935,1.113977960622187
91,2024-01-21,Fish Carrier,Diesel,Critical,31.199722539868997,0.2924641986129181
92,2024-01-28,Fish Carrier,Diesel,Critical,20.97410000328972,1.3072239600245084
93,2024-02-04,Bulk Carrier,Diesel,Good,49.65033180245,0.2113757194506842
94,2024-02-11,Bulk Carrier,,Good,71.01174428695461,1.3730630338981766
95,2024-02-18,Tanker,Heavy Fuel Oil (HFO),Good,47.58572060534328,0.39322720465937
96,2024-02-25,Bulk Carrier,Diesel,Critical,32.13771956728699,1.3396695115500583
97,2024-03-03,Container Ship,Heavy Fuel Oil (HFO),Good,63.88333769746129,1.0608490712861665
98,2024-03-10,Container Ship,Heavy Fuel Oil (HFO),Fair,16.332844130697346,0.3722849079599509
99,2024-03-17,Container Ship,Diesel,Fair,50.65270057098724,1.0712600944706432
100,2024-03-24,Container Ship,Diesel,Critical,17.37435821676314,0.1085026358915157
101,2024-03-31,Bulk Carrier,Diesel,Fair,68.36573586122805,1.1151056205580794
102,2024-04-07,Tanker,Heavy Fuel Oil (HFO),Critical,22.360708113086705,0.1113586477651619
103,2024-04-14,Container Ship,Heavy Fuel Oil (HFO),Critical,53.04314995334376,1.0891392560099296
104,2024-04-21,Container Ship,Diesel,Critical,55.75933674177419,1.18352004975845
105,2024-04-28,Tanker,Steam Turbine,Critical,50.01783573170795,1.3890824187867687
106,2024-05-05,Bulk Carrier,Heavy Fuel Oil (HFO),Fair,40.01406868530753,1.284465539434576
107,2024-05-12,Container Ship,Diesel,Critical,46.51535172071799,0.2516251439067211
108,2024-05-19,Tanker,Diesel,Good,32.49282393906629,1.3637071461798596
109,2024-05-26,Tanker,Heavy Fuel Oil (HFO),Critical,13.634266026024942,1.3435845902584382
110,2024-06-02,Fish Carrier,Heavy Fuel Oil (HFO),Critical,15.30174299816906,1.2574066224714773
111,2024-06-09,Tanker,Steam Turbine,Fair,48.76004664080712,0.1799411422715512
112,2024-06-16,Fish Carrier,Heavy Fuel Oil (HFO),Fair,71.68096687400507,1.2944401516526791
113,2024-06-23,Fish Carrier,Steam Turbine,Critical,18.61078185485697,1.0438100610383394
114,2024-06-30,Container Ship,Diesel,Good,30.82071142459359,1.111578315770411
115,2023-06-04,Container Ship,Diesel,Critical,22.603295665965515,1.1707742242084047
116,2023-06-11,Tanker,Heavy Fuel Oil (HFO),Good,23.06993451920181,1.4586608956367866
117,2023-06-18,Fish Carrier,Steam Turbine,Fair,28.471851977100545,0.956230558681084
118,2023-06-25,Tanker,Steam Turbine,Critical,61.382575278181534,1.102164157193372
119,2023-07-02,Container Ship,Heavy Fuel Oil (HFO),Critical,12.6149357370382,0.3861891330507888
120,2023-07-09,Fish Carrier,Heavy Fuel Oil (HFO),Critical,31.91905992424225,1.2170811542871829
121,2023-07-16,Container Ship,,Good,52.909973694810525,1.3535720262120623
122,2023-07-23,Tanker,Steam Turbine,Critical,66.15636765047032,1.2064899721510305
123,2023-07-30,Tanker,Diesel,Good,58.65862897454248,0.6574892691102943
124,2023-08-06,Tanker,Heavy Fuel Oil (HFO),Critical,35.66953727051577,0.9094944380596428
125,2023-08-13,Fish Carrier,Steam Turbine,Critical,44.77080610284417,1.3626610421725514
126,2023-08-20,Fish Carrier,Steam Turbine,Critical,31.517363484775487,1.147229048170706
127,2023-08-27,Bulk Carrier,Steam Turbine,Good,50.174306110557566,0.5332406936897987
128,2023-09-03,Tanker,Heavy Fuel Oil (HFO),Fair,44.75815284364943,0.6157729940758785
129,2023-09-10,Bulk Carrier,Steam Turbine,,39.563074613686666,0.8514023190442859
130,2023-09-17,Tanker,Heavy Fuel Oil (HFO),Fair,25.15920716559328,0.5049865462814236
131,2023-09-24,Container Ship,Heavy Fuel Oil (HFO),Critical,51.86420039060093,1.392533207587155
132,2023-10-01,Tanker,Heavy Fuel Oil (HFO),Critical,65.6218208045424,1.489571519183008
133,2023-10-08,Fish Carrier,Diesel,Fair,40.53399262196834,0.9530232329073196
134,2023-10-15,Bulk Carrier,Steam Turbine,Fair,44.95457125085436,1.3562182967023062
135,2023-10-22,,Diesel,,55.27975331567014,0.5330556431264213
136,2023-10-29,Container Ship,Diesel,Critical,51.71282246454937,1.1386878079459786
137,2023-11-05,Tanker,,Good,63.57982482408494,0.5384492746900168
138,2023-11-12,Fish Carrier,,Good,71.74108549769132,1.1175270646288702
139,2023-11-19,Container Ship,Diesel,Critical,28.79532171756764,0.4166770817381097
140,2023-11-26,Bulk Carrier,Heavy Fuel Oil (HFO),Critical,61.14475076746843,1.1983203378897742
141,2023-12-03,Tanker,Diesel,Fair,71.38161020485359,0.1005826404535636
142,2023-12-10,Container Ship,Steam Turbine,Fair,70.94590497463727,1.027265282853833
143,2023-12-17,Bulk Carrier,Heavy Fuel Oil (HFO),Fair,52.9830259489444,1.1627584856793602
144,2023-12-24,Fish Carrier,Diesel,Good,51.15595864806601,1.1169055257406344
145,2023-12-31,Container Ship,Heavy Fuel Oil (HFO),Critical,27.854016366086334,0.3662882950101915
146,2024-01-07,Tanker,Heavy Fuel Oil (HFO),Critical,18.347578033859456,0.84552675736617
147,2024-01-14,Bulk Carrier,Diesel,Fair,38.10040874373851,0.130166628522973
148,2024-01-21,,Steam Turbine,Fair,45.88105417842229,0.6863819741436419
149,2024-01-28,Fish Carrier,Steam Turbine,Fair,34.58414578128274,0.1021915107381856
150,2024-02-04,Container Ship,Diesel,Good,48.56959968756289,0.8793478819516504
151,2024-02-11,Fish Carrier,Diesel,Critical,57.76601679774596,0.9816512609138546
152,2024-02-18,Bulk Carrier,Heavy Fuel Oil (HFO),Fair,20.330878321845496,0.2099985493607734
153,2024-02-25,Container Ship,Steam Turbine,Critical,12.869445251278032,0.4054940627345184
154,2024-03-03,Fish Carrier,Steam Turbine,,35.62599394374553,0.2834398492999233
155,2024-03-10,Tanker,Diesel,Good,65.07626319920882,0.1075678331811795
156,2024-03-17,Container Ship,Steam Turbine,Good,40.07100380186582,0.3320203122719675
157,2024-03-24,Container Ship,Steam Turbine,Good,57.00004384387162,0.4687355636658481
158,2024-03-31,Container Ship,Steam Turbine,Fair,29.053215956140217,0.8802169040024242
159,2024-04-07,Container Ship,Diesel,Fair,40.66811493217553,1.271457213440669
160,2024-04-14,,Heavy Fuel Oil (HFO),Fair,22.859051271528813,1.1495229038946242
161,2024-04-21,Fish Carrier,,Fair,19.93490115731208,1.19413945365277
162,2024-04-28,,Diesel,Good,40.20972378049031,1.3860780828724664
163,2024-05-05,Bulk Carrier,Heavy Fuel Oil (HFO),Critical,37.0659719218108,0.6749285245471384
164,2024-05-12,Container Ship,Steam Turbine,Good,37.825470456158925,0.319847816936339
165,2024-05-19,Tanker,Heavy Fuel Oil (HFO),Critical,33.854396035163866,1.1472156631401682
166,2024-05-26,Tanker,,Fair,19.923471182325915,0.3291407469322123
167,2024-06-02,Tanker,Diesel,Fair,62.98093507446064,0.8140196690752569
168,2024-06-09,,Diesel,Good,16.297548304590748,0.8407655355915984
169,2024-06-16,Tanker,Diesel,Critical,20.768988839496405,1.2542261421894556
170,2024-06-23,Fish Carrier,Heavy Fuel Oil (HFO),Critical,27.553012364146472,0.9419968284546212
171,2024-06-30,Bulk Carrier,Diesel,Fair,31.19006226535945,0.6224900279583961
172,2023-06-04,Bulk Carrier,,Good,57.71487456198884,1.4990243285578349
173,2023-06-11,Bulk Carrier,Steam Turbine,Fair,34.45197451201387,0.5265233996633623
174,2023-06-18,Bulk Carrier,Heavy Fuel Oil (HFO),Fair,68.7423171119633,0.3469919090519617
175,2023-06-25,Fish Carrier,Diesel,Critical,32.72648080602859,0.1327236780778252
176,2023-07-02,Container Ship,Diesel,Critical,24.290878971753237,1.0899425337979938
177,2023-07-09,Container Ship,Steam Turbine,Fair,26.39618582751448,0.3826115279869089
178,2023-07-16,Bulk Carrier,Steam Turbine,Critical,23.73358820545841,0.3498388293974638
179,2023-07-23,Fish Carrier,Diesel,Good,45.128008465247895,1.4545306160419151
180,2023-07-30,Bulk Carrier,Diesel,Critical,35.207955315120124,0.5943002143598819
181,2023-08-06,Tanker,Steam Turbine,Good,38.82951972495251,1.010311214136468
182,2023-08-13,Bulk Carrier,Diesel,Critical,54.75487646918717,0.7645876846383522
183,2023-08-20,Bulk Carrier,Heavy Fuel Oil (HFO),Critical,25.310527447188377,1.1650049521359755
184,2023-08-27,Bulk Carrier,Heavy Fuel Oil (HFO),Critical,44.49792905254232,0.4997053702457477
185,2023-09-03,Tanker,Heavy Fuel Oil (HFO),Good,52.93632007232316,0.1933548803957911
186,2023-09-10,Fish Carrier,Diesel,Good,22.842729710017142,0.3542093555760841
187,2023-09-17,Tanker,Diesel,Fair,51.76750753410353,0.8069324766933632
188,2023-09-24,Fish Carrier,Heavy Fuel Oil (HFO),Good,40.75030299495785,0.4625631126990499
189,2023-10-01,Tanker,Steam Turbine,Critical,59.64752401516922,0.6783984337369442
190,2023-10-08,Fish Carrier,Diesel,Good,70.59690952805167,0.2960701911036161
191,2023-10-15,Bulk Carrier,Diesel,Critical,45.90206023487952,0.7140558143074214
192,2023-10-22,Bulk Carrier,Diesel,Critical,65.79506233509595,0.1047318648923552
193,2023-10-29,,Diesel,Critical,30.418825726682638,0.3853021427060686
194,2023-11-05,Bulk Carrier,Diesel,Good,30.568031559153123,1.1002199441725118
195,2023-11-12,Bulk Carrier,Steam Turbine,Fair,57.19153614124712,0.1753015588853354
196,2023-11-19,Fish Carrier,Steam Turbine,Critical,49.60812749469075,1.3088193288695815
197,2023-11-26,,,,29.87683950156013,0.1989973134983139
198,2023-12-03,Bulk Carrier,Diesel,Good,26.75687948182358,1.2426863987230987
199,2023-12-10,,,Fair,16.163684734530644,1.1969162369118274
200,2023-12-17,Bulk Carrier,Diesel,Critical,15.965092227680245,0.9893715149245174
201,2023-12-24,Fish Carrier,Diesel,Fair,39.56425566694076,0.5185552742950325
202,2023-12-31,Tanker,Diesel,Good,67.30323622275556,0.7299563412465323
203,2024-01-07,,Steam Turbine,Fair,65.2799231303855,0.3129939951506209
204,2024-01-14,Container Ship,Heavy Fuel Oil (HFO),Fair,68.25418240186798,0.7447404590151441
205,2024-01-21,Container Ship,Diesel,Critical,13.913661742604615,0.4956529188083622
206,2024-01-28,Tanker,Steam Turbine,Critical,49.09907244894131,0.9076829426086792
207,2024-02-04,Fish Carrier,Steam Turbine,Good,51.231313000013685,0.6869399014753599
208,2024-02-11,Fish Carrier,Diesel,Good,43.65412633257396,1.16770015541029
209,2024-02-18,Fish Carrier,Diesel,Good,20.27981660411916,1.480065213183553
210,2024-02-25,Container Ship,Heavy Fuel Oil (HFO),Fair,64.31048852321304,0.1810005210955989
211,2024-03-03,Tanker,Steam Turbine,Fair,53.248851026033485,1.1484932509536432
212,2024-03-10,Container Ship,Steam Turbine,Fair,70.540850733002,1.1436734036326293
213,2024-03-17,Fish Carrier,,Critical,56.78955008582083,1.1553243680482064
214,2024-03-24,Bulk Carrier,Heavy Fuel Oil (HFO),Fair,55.98193839814932,0.1093833366941215
215,2024-03-31,Bulk Carrier,Diesel,Fair,50.29374823065571,0.3211032146933054
216,2024-04-07,Tanker,Steam Turbine,Fair,35.01095127118283,0.6064581153316989
217,2024-04-14,Container Ship,Heavy Fuel Oil (HFO),Critical,59.219466855470806,1.127211319246147
218,2024-04-21,Bulk Carrier,Diesel,Fair,66.4145608311238,0.62890175543333
219,2024-04-28,Bulk Carrier,,,61.083649251106976,0.7352780857494826
220,2024-05-05,Container Ship,Heavy Fuel Oil (HFO),Fair,71.61992034977398,0.8673268853440681
221,2024-05-12,Fish Carrier,Heavy Fuel Oil (HFO),Fair,30.3128938957814,0.6989804283898534
222,2024-05-19,Bulk Carrier,Steam Turbine,Critical,61.88722251964216,0.1574988917295516
223,2024-05-26,Fish Carrier,Diesel,Fair,67.37359461340975,0.8904911496834758
224,2024-06-02,Fish Carrier,Heavy Fuel Oil (HFO),Fair,54.63187009185176,0.1344552934637895
225,2024-06-09,,Diesel,Fair,26.70852750792919,0.6101832248768437
226,2024-06-16,Bulk Carrier,Diesel,Fair,38.65984651928553,1.07970453263855
227,2024-06-23,Bulk Carrier,Steam Turbine,Fair,31.36385983673033,0.7471674055185051
228,2024-06-30,Bulk Carrier,Diesel,Fair,59.08053191985608,1.0315557414807943
229,2023-06-04,Fish Carrier,Diesel,Fair,36.87107038153179,1.2685305402089453
230,2023-06-11,Fish Carrier,Steam Turbine,Good,59.9270732807842,1.019374980130678
231,2023-06-18,Container Ship,Steam Turbine,,44.995569271586334,0.3033567611523501
232,2023-06-25,Tanker,Steam Turbine,Good,56.04247421618986,0.7658729168223046
233,2023-07-02,Tanker,,Fair,60.51905967554632,0.4846306623897846
234,2023-07-09,Fish Carrier,Steam Turbine,Fair,38.1154615559326,0.4931460019055567
235,2023-07-16,Fish Carrier,Diesel,Good,62.77460235888195,1.3059293814850812
236,2023-07-23,Fish Carrier,Heavy Fuel Oil (HFO),Critical,15.561286216676828,0.286927122215254
237,2023-07-30,Fish Carrier,,,30.822417763065147,1.225868221746109
238,2023-08-06,Fish Carrier,Diesel,Critical,41.291828215862296,0.9414683004211865
239,2023-08-13,Tanker,,Good,31.14786211246217,0.9299101023205344
240,2023-08-20,Container Ship,Diesel,Critical,44.02541760769196,0.5510237121339683
241,2023-08-27,Tanker,Heavy Fuel Oil (HFO),,24.920459054783155,0.9126496263389334
242,2023-09-03,Tanker,Heavy Fuel Oil (HFO),Fair,18.21932949748026,0.1689730088732513
243,2023-09-10,Tanker,Heavy Fuel Oil (HFO),Good,35.61002367492088,0.2573940591353535
244,2023-09-17,Bulk Carrier,Diesel,Good,51.5322558184064,0.4396450141694575
245,2023-09-24,Container Ship,Steam Turbine,Critical,18.240587779377336,1.1406980576883936
246,2023-10-01,Tanker,Steam Turbine,Good,66.26748324147289,1.2388027133239967
247,2023-10-08,Fish Carrier,Steam Turbine,,51.08436515239654,0.705080411509121
248,2023-10-15,Bulk Carrier,Heavy Fuel Oil (HFO),Good,52.5455591518494,0.3883970726624651
249,2023-10-22,Fish Carrier,Heavy Fuel Oil (HFO),Critical,30.209242941626307,1.1050361426910609
250,2023-10-29,Container Ship,Diesel,Good,18.30754712767437,0.3871593119647512
251,2023-11-05,,Diesel,Critical,48.27599075224215,1.332727416916598
252,2023-11-12,Fish Carrier,Heavy Fuel Oil (HFO),Critical,47.86530937337122,0.8953019242074267
253,2023-11-19,Bulk Carrier,Diesel,Critical,66.93178828352553,1.2958835695287017
254,2023-11-26,Bulk Carrier,Heavy Fuel Oil (HFO),Good,20.66896339109531,1.4618478727774529
255,2023-12-03,Container Ship,Steam Turbine,Critical,70.70140617954866,1.0163874449305113
256,2023-12-10,Bulk Carrier,Heavy Fuel Oil (HFO),Critical,70.76977409984909,0.2388991203876409
257,2023-12-17,Container Ship,Steam Turbine,Fair,43.04301870681692,1.2220591620368044
258,2023-12-24,Bulk Carrier,Diesel,Critical,32.77365264899524,0.3860515587753411
259,2023-12-31,Fish Carrier,Steam Turbine,Good,69.80079680079375,0.4640530495842452
260,2024-01-07,Fish Carrier,Heavy Fuel Oil (HFO),Good,66.01338881750428,1.050832098785864
261,2024-01-14,Fish Carrier,Heavy Fuel Oil (HFO),Fair,22.37244915396874,1.0078126627675137
262,2024-01-21,Fish Carrier,Steam Turbine,Fair,68.43451399803064,1.3430996374926762
263,2024-01-28,Container Ship,Steam Turbine,Good,39.14426631277992,0.926137817104043
264,2024-02-04,Bulk Carrier,Diesel,Fair,43.43201760578012,0.4536842473582956
265,2024-02-11,,Diesel,Good,66.66745151653947,0.2414549922280688
266,2024-02-18,Container Ship,Heavy Fuel Oil (HFO),Critical,24.393418278311856,1.0435091875917228
267,2024-02-25,Bulk Carrier,Steam Turbine,Good,70.2194544811321,1.4310951928565876
268,2024-03-03,Tanker,Heavy Fuel Oil (HFO),Good,58.32793898258819,0.5271365120559852
269,2024-03-10,Bulk Carrier,Heavy Fuel Oil (HFO),Fair,52.402742566047166,0.7809422014123316
270,2024-03-17,Bulk Carrier,Heavy Fuel Oil (HFO),Good,27.57091488114001,0.5915203622626478
271,2024-03-24,Tanker,Diesel,Critical,66.5552106834119,0.540757332767001
272,2024-03-31,Fish Carrier,Heavy Fuel Oil (HFO),Fair,12.686349428860984,0.8639924657043433
273,2024-04-07,Fish Carrier,Heavy Fuel Oil (HFO),Fair,62.91921308367503,0.5516988414359453
274,2024-04-14,Bulk Carrier,Steam Turbine,Fair,20.80837039873404,0.2404933351705896
275,2024-04-21,Bulk Carrier,Diesel,Critical,67.30986365351998,0.9502772377752872
276,2024-04-28,Fish Carrier,Heavy Fuel Oil (HFO),Fair,20.308497934563505,1.2974464416262137
277,2024-05-05,Bulk Carrier,Steam Turbine,Fair,70.43254153144991,1.468162688893366
278,2024-05-12,Fish Carrier,Heavy Fuel Oil (HFO),Good,39.735518130428126,1.120058390011292
279,2024-05-19,Fish Carrier,Heavy Fuel Oil (HFO),Good,12.556819159613593,0.3863991543898151
280,2024-05-26,Container Ship,Steam Turbine,Fair,25.257647242230323,0.6721531670301443
281,2024-06-02,Tanker,Diesel,Critical,62.10747722349647,1.230652521679483
282,2024-06-09,Container Ship,Diesel,Fair,25.147712792541007,1.322039456194612
283,2024-06-16,Fish Carrier,Heavy Fuel Oil (HFO),Fair,26.02488846458078,0.114493595747922
284,2024-06-23,Fish Carrier,Steam Turbine,Good,29.789398943008,0.5201292491843776
285,2024-06-30,Fish Carrier,Steam Turbine,,12.31245567697091,1.4992593985186986
286,2023-06-04,Container Ship,Diesel,Fair,46.21667006959204,0.4191791854538145
287,2023-06-11,Fish Carrier,Steam Turbine,Good,38.96847573849923,0.2765864240181574
288,2023-06-18,Bulk Carrier,Steam Turbine,Good,64.29921689062282,0.4112067665552866
289,2023-06-25,Bulk Carrier,Diesel,Fair,24.199578337722212,0.5215789000244863
290,2023-07-02,Fish Carrier,Diesel,Good,60.793799688940894,0.8265359055642308
291,2023-07-09,,Heavy Fuel Oil (HFO),Critical,37.684564727683984,1.2217859921492484
292,2023-07-16,Bulk Carrier,Steam Turbine,Fair,55.99879313361211,0.6398678736189767
293,2023-07-23,Tanker,Diesel,Good,38.61393629583477,1.233774085246691
294,2023-07-30,Tanker,,Critical,32.99863371126772,1.3731389696088063
295,2023-08-06,Tanker,Steam Turbine,Fair,34.97365305036825,1.252104231748551
296,2023-08-13,Tanker,Diesel,Fair,69.35458232045849,1.1723269745939342
297,2023-08-20,Bulk Carrier,Heavy Fuel Oil (HFO),Good,16.412916681964756,1.153222592990888
298,2023-08-27,Tanker,,Critical,12.903201842456696,0.1875603181611651
299,2023-09-03,Bulk Carrier,Diesel,Good,29.833494218595856,1.0114416713175032
300,2023-09-10,Bulk Carrier,Heavy Fuel Oil (HFO),Critical,28.940001222336832,1.1596967072613915
301,2023-09-17,Container Ship,Diesel,Good,51.171699327504136,0.7565551464786474
302,2023-09-24,Fish Carrier,Heavy Fuel Oil (HFO),Good,32.3175821553713,0.3483545018505958
303,2023-10-01,Container Ship,Steam Turbine,Critical,32.10586327832141,1.3271600113825055
304,2023-10-08,Tanker,Steam Turbine,Good,31.945943325165004,1.069078011708502
305,2023-10-15,Tanker,Steam Turbine,Fair,69.72559270672582,1.251687321711877
306,2023-10-22,,Diesel,Fair,55.57084566003158,1.1525481360019854
307,2023-10-29,,Steam Turbine,Fair,66.01668490262495,0.4295939397784619
308,2023-11-05,Bulk Carrier,Diesel,Fair,37.19831876313667,0.7983343766002812
